"Time","Machine","User","Access","SourceAddr"
"2/18/2024 10:25:58 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/18/2024 9:00:01 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/18/2024 9:00:01 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/18/2024 8:35:57 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/18/2024 7:54:00 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/18/2024 7:20:03 PM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/18/2024 7:04:57 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/18/2024 5:20:57 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/18/2024 3:37:56 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/18/2024 1:56:56 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/18/2024 12:00:55 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/18/2024 11:19:59 AM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/18/2024 10:21:55 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/18/2024 8:28:55 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/18/2024 6:36:54 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/18/2024 5:05:53 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/18/2024 3:31:58 AM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/18/2024 3:19:58 AM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/18/2024 3:14:53 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/18/2024 1:23:52 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/18/2024 12:15:14 AM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/17/2024 11:33:52 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/17/2024 10:02:51 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/17/2024 9:00:01 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/17/2024 9:00:01 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
